reviewer_id,document
51027,"Laura and Arjun were brilliant hosts and their flat was absolutely perfect for our stay. The flat is cosy and ideal for a couple - with all mod cons and an amazing shower and very comfy bed! Breakfast is sweetly brought to you every morning on a tray - freshly boiled eggs, coffee just as you like it, freshly squeezed orange juice etc - amazing and a real treat!<br/>The flat is in the basement of their grand canal side house - it is absolutely beautiful. We loved the area - a stones throw from all the buzz and bustle of the canal rings but calm and peaceful. We found we were able to walk to every area we wanted to go to and hired bikes one day which was a highlight. <br/>Arjun and Laura were on hand to help with anything and had lots of great restaurant recommendations - we tried out the Indonesian suggestion which was delicious. <br/>A truly memorable experience and we hope to come back soon!<br/>"
88658,"truus offers a nice studio with a terrace in a quiet neighbourhood in the former eastern docklands of amsterdam - surrounded by water, and all of the cities stunning contemporary architecture, not far from the central station. the studio is well equiped, it even includes service by truus who is very friendly and generous."
102821,"I just want everybody to know that Joke was a perfect host for my sister and me. We felt home the moment we arrived late at evening because of her warm welcome. She made us coffee, served us a pie and gave us quick information about the neighborhood and the city in gerenal. A highlight to point out were the amazing breakfasts Joke prepared every morning on the attached veranda. All rooms were perfectly clean as well as the sheets and towels. <br/><br/>The neighborhood itself was also very nice. From Mercatorplein you can easily walk to the city and see how architecture has changed over the decades. This takes you roughly 45 minutes. What is more, there is a tram station directly in front of the appartment with two different lines taking you wherever you want to go in short time.<br/><br/>All in all it was a perfect stay and I can highly recommend Joke as a host."
104846,"Jake and Ayla's boat was the perfect spot for our brief visit to Amsterdam. They graciously allowed us to drop our bags prior to check-in so we could start exploring right away. We didn't have to walk far to get to fantastic areas of town (I highly recommend seeing a movie at The Movies, and climbing up the Westerkerk church tower!) Bed was comfy, cookies were tasty, and local beer they provided was such a nice touch.<br/><br/>Thanks guys for a great stay! :)"
112013,The location could not have been better. We were there when they had construction going on which they told us about before excepting our booking. The reality was it was no big deal at all! If i am looking for a complaint it would only be that we had just one set of keys and needed to lock up on each time we came or left. With two of us it was a bit of an inconvenience to leave separately.  That is the only complaint i could muster as everything else was awesome!! I would highly recommend to anybody visiting Amsterdam!
113916,"Truus was very welcoming and nice - when we arrived she gave us a map with great recommendations for sights, restaurants and places in Amsterdam! And we were blown away by the beautiful room - in reality it's even prettier than on the pictures. We also enjoyed the region where Eastendroom is located: not too far from the city center, in a very calm and modern residential area. All in all it was the perfect accommodation!"
115275,What a fantastic place.  IDEAL location and neat as a pin. Ingo was a perfect host and very flexible when we were faced with some tough weather.  The space was bright and cheerful even on the stormiest days.  The kitchen was well equip and shops were just a short walk along the canal.
124772,"The hosts were wonderful - great people, really caring and response. The place was also incredible -- what a wonderful location! And the flat has everything you need. Highly recommended!"
133841,"Hein, an artist and a thinker, lives in an unusual, suggestive loft, a former synagogue converted into a factory then turned into an apartment by Hein himself. The place is unique, as is the pied-à-terre that Hein rents. I was welcomed with a bottle of white wine and a long conversation on philosophical and existential topics. Isn't that the original spirit of Airbnb? Meeting people and exchange with them? I'll therefore give five stars to Hein and his beautiful studio, which is also very confortable, quiet, and perfectly located (close to a lively students' area with a wonderful movie theater, the Kriterion, the botanical garden, and lots of inexpensive, genuine restaurants, cafes, and bars)."
148839,"Corina's place in Jordaan is a great location for exploring Amsterdam - walking distance to the Dam, and many other tourist locations. The accommodation is comfortable, quiet, and has everything you need for a short stay. Corina has books about Amsterdam for travellers wanting to know more. The wifi was a bonus. Corina was just lovely to chat with - so friendly and helpful. Highly recommended. "
