guest_id,translation.comments
133841,"Perfect in every way, I would recommend! Massimo is a wonderful guest! 100% recommended"
273447,Heather & Jay  were nice guests to host. Friendly and they left the place neatly; thank you! :)
300148,"Good guests, everything went perfect Good clients Everything was in order and they were friendly and polite. I highly recommend them."
313949,"Respectful and charming guests
I recommend it! Claire is punctual and very respectful. I recommend it. I welcomed Claire and her companion with pleasure and entrusted them with my home with peace of mind. They were open and very nice. Antonio and Claire were really extraordinary visitors. They left the house in perfect condition. I would recommend it. "
325328,Was OK
367862,Super woman. Very nice and friendly
443512,"Perfect guest, came on time, very pleasant and communicative, left the home in excellent  condition ! Thanks ! Thank you for visiting!"
532213,Very discreet traveler. Serious guest. Good communication. I recommend it. i hope Fred was also happy with my house. I was very happy with him as a guest. The house was clean and tidy
883824,All good. Very kind and good guest.
902903,"Friendly and respectful, I 100% recommend Carlos, and would be happy to host him again if he wishes! Carlos I didn't meet but his roommate. Nice and good to speak Swedish. Short visit but a nice impression. 
Marianne 🙆"
988450,"Perfect guest. quiet, clean and polite"
1185919,"Miriam and her group were there for a short time, but it  was still nice to be able to host them as a guest.
We'd love to come back! Very nice guests. They left the apartment in perfect condition."
1274589,You are a guest who used the accommodation in a clean and tidy condition:)
1275751,"hello Bea from a super super apathetic, super apathetic, clean, polite, here. She has her home whenever you want now, super nice and super nice. She is very clean. We are here when she needs something affection 👍😘🏡 Correct, kind, cooperative and always concerned about the good coexistence. He settled in with kindness and affection. Highly recommended! a super cute couple.
that happiness
i highly recommend it. David and Béa are a very friendly couple with whom communication is easy and very interesting.
The room has been left in pristine condition.
We'd love to host them again. Perfect, no complaints!"
1398012,"Very nice to have welcomed Marvin and Trish, They are super polite and friendly"
1420918,"We had great pleasure hosting Claudie and her family, who were very respectful of our house.
We highly recommend them!"
1524644,"communicative, respectful of house rules, kind. top! super recommended"
1653002,"Everything's great with Eli! Excellent guest, I'd be happy to welcome you again! And he got along great with my kitten :) It was a pleasure to welcome Eli! Excellent guest. He left the apartment in very good condition. I recommend. Eli, an excellent guest, left everything spotless! I look forward to seeing you whenever you like! I leave the apartment impeccable, thanks for taking care of it! We'll be waiting for you whenever you want, regards!"
1804432,"Martin and his family were very, very nice guests. Communication was excellent and they left the apartment in a very clean and tidy condition the apartment. I can highly recommend Martin on as a guest. Very happy to come back. Thank you!"
1879315,"Dagmar was great guest. It was a successful stay.

The place was left clean and communication was good during the stay.

If you are in Hamburg again and need accommodation, you are always welcome:)"
1978970,"Oded was a respectful guest, it will be a pleasure to host him again. Nice"
2305492,"Julia is very kind, very friendly and polite. You left everything in order. I highly recommend it and if she returns to Faro and if I have availability, I will be happy to welcome her back to my house."
2342491,Traci and Paul are very pleasant and friendly travelers. They took care of our apartment. We highly recommend them.
2404074,"Guests welcome, clean, and respectful of the rules. I recommend them Very nice and friendly couple, tidy and clean, they also washed the coffee maker! We hope to have them soon!"
2456964,Julia was a very pleasant booker. Everything worked out perfectly. We'd love to come back. Thank you so much for choosing the youth hostel in Baden. We hope you had a pleasant stay.
2540404,"Respectful group with the house and careful Very nice enthusiastic family 
They're welcome again Lovely, a pleasure to have had Sole with us, thank you for visiting and welcome back. Best regards, Mar"
2654288,"Thank you so much for your time, Josh. perfect Everything went well with Josh. The apartment was clean upon departure. I recommend this guest without a second thought.
See you soon"
2711214,"Marie Ange and her friend are very pleasant and charming people. It was a real pleasure to receive them. We have to see you again in France...that means everything
 Marie-Ange and her daughters are very nice. Very respectful, the apartment was perfectly clean when they left. Thank you very much. I will be happy to host them again and would highly recommend them. "
2788792,Friendly Guests
