host_id,host_join_year,host_about,num_verified_sources,is_superhost,host_total_listings_count,number_of_reviews,review_scores_rating,host_response_rate,host_acceptance_rate
97647,2010.0,"Marjan works in ""eye"" the dutch filmmuseum, and designs costumes for tv, film and theatre. Flip is an actor, mainly on stage, but also for film and tv. So for cultural advise, what to do, you are coming to the right place...

",2,True,1.0,302,4.92,100,98
124245,2010.0,Hi,2,True,2.0,710,4.88,100,99
194779,2010.0,Love to travel while hosting and to host while travelling!,2,False,1.0,42,4.71,,
211696,2010.0,"Hi, I am a freelance theatre director and composer living in both Amsterdam and Berlin together with my partner Maaike, who is also a theatre director, and our cute little twin boys Ilja and Cyril. We tend to go where ever we find interesting projects in theatre and music theatre. Apart from that we like to travel to see new parts of the world or show them to our boys. We like Asia. We both love opera but I at the same time am a huge fan of My Bloody Valentine and The Fall for instance. Maaike is very much into art-photographing. ",2,False,2.0,203,4.77,100,50
220434,2010.0,,2,False,1.0,5,5.0,,
225987,2010.0,"Joanna is from London and MP is from Amsterdam. We have a lot to thank travel and hospitality for. We fell in love at first sight when Joanna went to Amsterdam to review boutique hotels and walked into the one MP was running. The rest, as they say, is history. These days MP is a professional pianist and Joanna is the distributor of Micro scooters for the Netherlands and has a store across the street from the house. In 2006 we bought our house from an old lady who had lived in it for 38 years. We have completely renovated it and now live here very happily with our two daughters. We love to travel, we love music and we love good food. We also really love Amsterdam! We can tip you off about local hangouts that you have to live here to know about and all the highlights that you really ought to see whilst you're here. This is the best area of the city to live in, that's why we picked it. Everything we need is right on our doorstep, we hardly ever have to leave our 'hood. You'll love it here too!",3,True,2.0,599,4.93,100,92
230246,2010.0,"An independent professional living and working in Amsterdam. Like to meet new people and help them to get around. Love culture, art, architecture and design. A very warm welcome to you all!",2,False,1.0,173,4.85,100,91
231864,2010.0,"Me, Karin (teacher, 50) and my husband Jean (architect, 59) live together in Bos en Lommer, a wonderful area in Amsterdam. Our place has a homely feeling. We love to travel and discover new places and new cultures. But Amsterdam is our home that we'll always return to. Due to its dynamics, atmosphere and its laid-backness. Come and see for yourself and you'll fall in love with Amsterdam too.
Looking forward to welcoming you in our house....",2,False,1.0,18,4.78,,21
231946,2010.0,Hallo I am Raymond Living in Amsterdam and I have been doing B&B for a long time,2,True,1.0,543,4.88,90,99
252245,2010.0,I try to play nice acting roles in movies and commercials.,2,False,1.0,12,5.0,,
263233,2010.0,"Enthusiastic and helpful Dutchman (65+).
I'm a retired buyer/product manager for Touroperators.
Next to Dutch, I speak English, French and German.

We rent out our comfortable Amsterdam Centre apartment (our home), when we are abroad traveling ourselves. 

We would like to know something about yourself  (and travel partner(s)) before accepting your request. So please make sure you have a picture and (short) profile on this website!
Thanks.",2,False,4.0,69,4.96,,50
264178,2010.0,"Hi there! 

Thank you for visiting my listing. I love my home and am happy to welcome guests.

I am 52 years old and I live here with my partner Jan.  I  work in private health care, specialized with dementia. I started out as a home exchanger, so I know how great it feels to have a home away form home when you visit a big city. 


Best wishes, 

Cornélie",2,False,1.0,96,4.86,,0
301340,2010.0,"Hi, my name is Jessica and happy to be your host in the great city Amsterdam.
I am a passionate traveller myself and I understand the importance of a good vacation home.

So, if you'd like to stay in my apartment, don't hesitate to send me an email and I love to welcome you to my beautiful city!
 
Jessica",2,False,1.0,38,4.89,,0
436145,2011.0,"Dutch guy, offering single use rooms with private ensuite facilities on the most famous canal in the hart of the city centre. Just a few minutes walk of central station. Feeling @ home in Amsterdam is the motto.


",2,False,4.0,241,4.77,,
494281,2011.0,"Hi! I am from Amsterdam and I am a flight attendant so i travel quiet a bit.
I rent out a studio room at the aft side of my houseboat. 
When i travel myself i prefer to stay at an airbnb over a hotel any day. Especially being on a housebot It gives you more the city experience then a  hotel would. Be the ""Amsterdammer""!  (As it is pronounced in dutch)
 
Ps. The dog in the picture is just a small friend i made far from home. ",2,True,1.0,297,4.79,100,100
195859,2010.0,"Facebook Likes:
I live in Amsterdam, Netherlands. 
I speak 4 languages
Italian, English, Dutch and French
",2,False,2.0,405,4.68,100,98
670266,2011.0,"We are a a couple: Federica is Italian, works in the ecommerce industry, is mother of three children and is married with Ton, Dutch, working as IT manager in a financial start up.
We love to travel.",2,False,3.0,111,4.73,100,73
748161,2011.0,"Hi everyone! This is Maria. I am a young Italian professional living in Amsterdam for 8 years with my little daugther and her lovely father, a Dutch musician. I am a Senior Project Manager for a big firm and my work takes my little family around the world quite a lot. Travelling is the quintessence of our life and meeting new people becomes a great way to see Amsterdam again and again with new eyes! I hope you will enjoy staying at our place! ",2,False,2.0,21,4.76,,
761321,2011.0,"Hi My name is Marlouke, I live with my family (husband and two children) in this very nice house in the most green area of Amsterdam. Within 10 minutes you'll find yourself (by bike, subway or bus) eather downtown Amsterdam or on the beautiful countryside of Amsterdam North and pitoresk little villages around that area. If you want to stay in a green quiet place 10 minutes from the high life Amsterdam, this place is perfect! We love to travel within Europe: Italy, Spain and Portugal but we also love San Francisco and New York and all of Azia and South America. We like to change houses and travel that way. My favourite movie is As it is in Heaven. The reason we like to let people stay in our house is also to met people from all over the world. We like to make your stay as enjoyable as possible!",2,False,3.0,17,4.53,,50
815989,2011.0,.,2,False,1.0,103,4.75,,
856540,2011.0,"I am born and raised in Amsterdam.
Working for my design furniture company Studio Martell,  
between Amsterdam and Portugal.",3,True,2.0,36,4.56,100,100
907405,2011.0,"Hi, I'm Yahav.  I live in a modest apartment with a spare bedroom. I have now been hosting for some time and enjoy it greatly. 

Although I've been living a long time in Amsterdam, I seem to like it more with every passing year. Being a foreigner myself, I know what an outsider would love to see and experience. I love to introduce others to my favorite hangouts. From the best restaurants and museums to the most dingy bars and everything in between, I would love to help you experience Amsterdam the way I love to live it!",2,False,3.0,469,4.67,100,97
915591,2011.0,"We started the B&B in 2011 on the ground floor of our house in an old printing factory in the very centre of Amsterdam. Because our twin sons left the house when they turned 18, we started a B&B, something we always dreamed of. 

We bought the house in 1988 and made it into the nicest place of Amsterdam. It is in the middle of the city but in our garden it feels like being in the countryside. We have lived in Amsterdam all our lives, but have been travelling around the world a lot.  

If you come and stay with us we like to share our favorite places in Amsterdam with you.The appartment has a garden and a private entrance. It is only three minutes walk from the Central Station.  If you want we can provide you with information about where to go, eat and drink.

",2,True,1.0,414,4.81,100,100
922787,2011.0,"Enjoying life with my 16 year old son and husband and as a festival manager. 
",2,False,2.0,14,4.5,,
935742,2011.0,"Languages: English

I am a chef and have been in catering since almost 30 years.
Besides that I enjoy hosting for Airbnb: I get to meet great people from all over!",2,True,2.0,731,4.97,100,100
887591,2011.0,"Hi, I'm Danielle, originally from Australia and now living in Amsterdam with my Dutch husband and two beautiful daughters. We both love to travel, and stay with friends, so that we can really discover not only the touristy stuff but also the day to day life in a particular place.

I'm a photographer, and international marketing communications consultant - and I know all the best places to entertain kids!

My partner (Gijs) is a freelance graphic designer who used to be a tour guide in Amsterdam - so if you ever need to know anything about the sights, history and attractions - he's sure to know : )

We look forward to meeting you, and making your time in Amsterdam, an enjoyable one!

Languages we can speak: English, Dutch, Spanish, German, French and Hungarian",2,False,1.0,23,4.73,,100
1100324,2011.0,"Together with my wife Edelmira I live in De Pijp, a good and lively neighourhood in Amsterdam. We both like working but when we have some time together we love to travel.

In 2022 we were able to buy a second home in Mexico which we rent out if we are not there. We love the place and Mexico City. Do you want to see the virtual tour? We can send you a YouTube-link. Because of Airbnb rules only after your reservation.",2,True,4.0,23,4.83,100,95
1107389,2011.0,My name is Henry and run the B&B already for more than 10 year with pleasure.,2,False,1.0,169,4.82,,
305025,2010.0,"I am Italian, living in Arezzo, Italy, co-founder of a company to provide electricity to low-income people in villages in developing countries.
I like sailing, travelling, riding bikes, watching quality movies, go to musea, programming. I get along very easily with people, but don't mind a bit of time alone, I also like looking at things from a different perspective and love debating interesting topics.
I am generally quite untidy, but limit that to my own space, as I very much respect the shared spaces and always like keeping them tidy and clean. I believe that mutual respect is necessary and key to a happy life.",3,False,6.0,20,4.74,,0
1135329,2011.0,"Amsterdam Boutique Apartments is located in Amsterdam's Canal Ring neighborhood, close to University of Amsterdam, Begijnhof, and Amsterdam Museum. Nearby points of interest also include Rembrandtplein and Royal Palace.",2,False,2.0,16,4.88,,
1005087,2011.0,"I grew up in the hospitality business, with my parents running hotels and/or restaurants. 

I love to share my experience of the wonderful city of Amsterdam. In my opinion the best way to see the city is with friends on an open canal boat on a nice day or evening.",2,False,7.0,265,4.88,100,100
1298735,2011.0,"Amsterdam is a great and very beautiful city, and its citizens are all very proud of living in Amsterdam. And so am I. It's great to live on the canal in a city that you can cycle around in to get where you want to go. ",2,True,1.0,548,4.87,93,93
1322517,2011.0,"Hi!

We are Fleur & Evan. 

Evan is manager of a internet design agency and Fleur is scientific project manager for a large pharmaceutical company.

We absolutely love our city! It is like a global village, with beautifull sites and facinating people. The city is full of nice places, bars, restaurants and culture. We hope you will enjoy it as we do every day. 

Our home is the perfect place for exploring the city. Modern and spacious in an historical Amsterdam house. Right in the centre and a nice place to relax after a day of walking or riding a bike.

You'll find that it is very clean and comfortable and we hope you enjoy it as much as the city itself.          ",2,False,1.0,27,4.92,100,50
1334704,2011.0,"Hello, I'm Claudia - welcome to The Flying Pancake.

We have a bit of a legacy to live up to. It is not enough that you enjoy your stay with us. Our goal is to have you thinking more along the lines of ""I wish I could stay longer""... Do not hesitate to get in touch to make a booking!",2,False,1.0,81,4.91,100,85
1337537,2011.0,"Hi, take a look at the pictures and read the description - and feel free to get in touch if you have questions or want to book. I look forward to hear from you!",3,False,1.0,63,4.94,,
1344947,2011.0,"We have a modern family house and like to share some rooms with guests. A good B&B host is somebody who shows you the way and walks up with you. 

Besides the house in Amsterdam, we have a great apartment on the slopes of the French alps, in Avoriaz.",2,True,2.0,256,4.9,100,91
1350388,2011.0,"We are a family of 4 people. Annemiek is a journalist and writes children's literature.  Fenice (22 years old) and Mare (18) are our daughters. I'm an architect and urban designer at Studio Vinke, my own company.
Since 1997 we live in Amsterdam.

Information about our work: Linkedin, Annemiek Neefjes or Stefan Bödecker",2,False,1.0,9,4.67,100,100
1376607,2011.0,"Hallo, My name is Martin. I like to travel with friends. While traveling I prefer using AIRBNB and other sources because I am interested in how the local people live and like being part of that. I also would like to give you experience. I am looking forward to welcoming you to Amsterdam.

I live downstairs and am available  for questions, tips etc.

If  you want to have more information, please let me know.
",2,False,3.0,113,4.83,,
1436134,2011.0,"Hey I'm Veronica, happy to share my apartment during my travels. ",2,False,1.0,44,4.95,,50
1451657,2011.0,We love traveling and providing the best service to our guests. We offer a centrally located spacious apartment. Be our guest and get the most out of your stay in Amsterdam.,2,False,1.0,129,4.5,100,100
1491565,2011.0,I lived in Switserland and London(UK) before I moved to Amsterdam. I also have a job in a small boutique hotel in Amsterdam. My partner and I hope to welcome you soon in our house in Amsterdam,2,True,2.0,408,4.92,100,99
1511330,2011.0,I love the city of Amsterdam and like to share its cosmopolitan and peacefull vibe. ,2,True,1.0,281,4.88,100,95
276068,2010.0,"We are Mirre and Nathan, both Amsterdam locals; Mirre is a true born and raised Amsterdammer and Nathan is French and has been loving and working in Amsterdam for over 10 years. 
We are both visual artists and at the side, we run this cosy guesthouse. We know a lot about our city, what to love and what to avoid!",2,True,1.0,363,4.78,100,97
1141485,2011.0,"we are a happy couple from amsterdam, holland, renting out our lovely two flow flat situated in thé lovely Amsterdam 
",2,False,3.0,32,4.63,,
1582128,2012.0,"I live in Amsterdam, either on our family owned sailing ship Chateauroux or on my private sailing ship. In the summers I'm often out sailing on the Dutch waters (or beyond!). I also own a coworking space and coffee bar called BounceSpace in the city centre of Amsterdam. You're welcome to come by there for coffee or for a work spot. I""ll be happy to tell you more about living on a ship in Amsterdam and of course where to go during your stay :)",2,False,2.0,103,4.86,100,90
1600010,2012.0,"We love cycling, travelling, healthy food and good weather, 
And we support the Airbnb concept. It is so nice to meet new people this way. At our place, or while we are travelling ourselves. ",3,False,1.0,98,4.79,100,50
1672823,2012.0,"We, Marc, my husband and I are the parents of 4 beautiful children, two boys and two girls. Since four years we are also the proud grandfathers of the two cutest grandchildren. We live in Amsterdam for 30 years.
Marc, my husband and I design houses and everything inside. Beside architecture I also design huge spectacular cakes for birthdays and weddings.
Three days a week I'm also teacher at the University of Amsterdam",1,True,4.0,762,4.94,100,98
1687595,2012.0,"Welcome guests, I'm Sebastiaan and it would be very nice to hear from you if you have any questions - or if you would like to stay in our great family house.",2,False,1.0,35,4.89,,67
1740785,2012.0,"We are a family of 2 kids and 2 creative entrepreneurs, working at home with few independent projects.
We enjoy improvisational travels, and have tips about hidden treasures (café & boutique stores) in Amsterdam.

Besides Amstel Nest, we are working on Architecture in Development (dot org), a non-profit website that welcomes everyone to share stories about architecture around the world with a focus on sustainable development.",2,True,3.0,579,4.89,100,100
1811745,2012.0,"I am a mom of three and a web designer. We love living in the city in our  spacious and cosy home in the middle of the city. I can't live without my family, friends, music, my IPhone and my home town Amsterdam. 

My style of travelling is 'live like the locals do' - try to get off the beaten track by just walking around town or asking advice to local people in a bar or grocery store. I love to make myself at home and offer the possibilities for other people to do the same when they visit me. Oh, and I am crazy about lighthouses...",3,False,1.0,138,4.86,100,67
1817922,2012.0,"Hi, I am Josh, Italian - from Sardinia - living in Amsterdam already for about 20 years.. I enjoy the comfort of my home and hope that you will feel welcome and well equipped for your stay in this beautiful fun city.",3,True,2.0,112,4.58,50,33
1849988,2012.0,"Hai,

I am Nicolette, proud mom of 2 kids.
Proud owner of Pancakes Amsterdam, a pancakes restaurant in the famous 9 streets & one across central station.
And love our city Amsterdam, we welcome you in our Sous (basement)!

Why Amsterdam?
Because it is a cosy city, everything in walking distance & lots of musea.

Hope we may welcome you in Amsterdam & our apartment!

kr Nicolette & Family",2,True,2.0,557,4.78,100,98
1853421,2012.0,"Hi, I am Marijn. I'm a digital strategist. I have worked and lived on three different continents. I love the diversity of people. These days, I'm happily based in wonderful Amsterdam.",2,False,1.0,23,5.0,100,50
1907015,2012.0,"I am Masha and have two kids Boaz (5) & Luca (3,5).
I live on the Amstel for 8 years. First we lived at a real boat, a sailing ship. We were in love of this place because of the oase of peace & nature in the middle of the city. But because of kids coming the ship became too small for 2 kids, so we started to realise an ark, this took about 1,5 year. On the 1st birthday of our daugther Luca this Ark was shipped to this place and still we are enjoying and we even love this place more and more. 
I am a personal life coach, trainer and freelance project manager. My passion is to create indivudual, and social changes.
More info about me & the houseboat:
* http://www.firstofaugust.com/foachateau/mashas-chateau/
* http://www.westwing.nl/magazine/huisbezoeken/wonen-op-het-water/",3,False,4.0,94,4.66,,
1920154,2012.0,,2,True,3.0,141,4.9,100,100
2063261,2012.0,"Hi there. I like to travel from time to time and in the mean time you can stay in my cosy house with cosy garden. You can have breakfast there in the morning and relax on the lounge sofa in the evenings. BBQ available. 
",2,False,2.0,13,4.85,88,13
