guest_id,doc_text
133841,"Moulin Rouge Apartment Entire rental unit in Paris, France 40 m2 apartment, next to the Moulin Rouge. Located at the bottom of a tree-lined courtyard on the second floor, it is quiet and bright. <br /><br />Fully equipped, comfortable and stylish, with its 3 fireplaces and old parquet flooring. <br />We live in it and ask guests to respect the belongings we leave there (any missing/damaged item will be subject to a claim). <br />Extra sofa bed available in the living room for 1 extra guest.<br /><br />Check-in to be determined <br />Flexible checkout<br /><br /><b>Registration Details</b><br />7510910470096  Checking in and out: Flexible check-in, Checkout before 5:00 PM, Self check-in with lockbox | During your stay: 2 guests maximum, Pets allowed | Before you leave: Return keys An oasis at the entrance to Los Palos Grandes! Entire rental unit in Caracas, Venezuela Enjoy an unbeatable location with an excellent view of Avila! In front of Parque del Este. Brand new apartment - architect designed - close to the best restaurants in Los Palos Grandes and Altamira. Easy access to transportation (in front metro station) and services such as supermarkets and convenience stores open 24 hours a day<br /><br />Fiber Optic Internet Service<br />Air Conditioning in the bedrooms<br />It has its own water tank<br />Private parking available for guests<br />Brand New and very well equipped<br /><br /><b>The space</b><br />The apartment is newly remodeled and designed by an architect, located at the entrance of Los Palos Grandes. It has 2 bedrooms and 2 bathrooms. One of them in suite. Living room, dining room, integrated and equipped kitchen, laundry with washer and dryer, tray and water tank. It has space for teleworking and its own parking lot. Air conditioning in both bedrooms. Very bright and with an excellent view of Avila from all rooms. Caracas, Distrito Capital, Venezuela: A short walk from all the culinary and cultural attractions of Los Palos Grandes and Altamira. <br />It's a short walk to a supermarket and convenience store, both open 24 hours a day Checking in and out: Check-in after 3:00 PM, Checkout before 11:00 AM | During your stay: 4 guests maximum, No pets, Quiet hours, No parties or events, No commercial photography, No smoking | Before you leave: Throw trash away, Turn things off, Return keys, Lock up"
273447,"Enjoy the way in Fine Twente Entire home in Enschede, Netherlands Welcome in Fine Twente!<br /><br />Enjoy the nature in this unique location. Discover the area; walk or swim around the Rutbeek, discover the Buurserzand, bike the most beautiful routes and visit the vibrant city of Enschede. A perfect spot to unwind. Whether you come alone or together!<br /><br />Fine Twente is in the yard of a farmhouse with wide views.<br /><br /><b>The space</b><br />Fine Twente can be booked for 2 people. There is 1 bedroom with a double bed in the cottage.<br /><br /><b>Guest access</b><br />Whole house.  Checking in and out: Check-in after 3:00 PM, Checkout before 11:00 AM, Self check-in with lockbox | During your stay: 2 guests maximum, No pets, Quiet hours, No parties or events, No commercial photography, No smoking"
300148,"Apartment in the SOL neighborhood Entire rental unit in Madrid, Spain Welcome to our apartment on Concepción Jerónima Street!<br /><br />Strategic location<br />Our apartment is in a prime location, just steps from some of the city's most iconic sights. <br /><br />Walking around you will find:<br />Puerta del Sol: Just 3 minutes away.<br />Plaza Mayor: Less than 5 minutes away.<br />Gran Vía: 12 minutes away.<br />Royal Palace: About 15 minutes away.<br />Prado Museum: About 20 minutes away.<br />Retiro Park: About 25 minutes away.<br /><br /><b>The space</b><br />Apartment Amenities<br />3 Rooms: With comfortable beds and linens and towels for each guest.<br />Equipped kitchen: Everything you need to prepare your favorite meals.<br />High Speed Wi-Fi: Ideal for working from home or enjoying online entertainment.<br />Air Conditioning and Heating: To keep you comfortable in any season of the year.<br /><br /><b>Registration Details</b><br />350/2022/13778  Checking in and out: Check-in: 3:00 PM - 2:00 AM, Checkout before 11:00 AM | During your stay: 8 guests maximum, No pets, Quiet hours, No parties or events, No commercial photography, No smoking Studio next to Plaza Mayor Entire rental unit in Madrid, Spain This cozy studio is situated in Calle Coloreros.<br /><br />Calle Coloreros is one of the pedestrian only streets next to Plaza Mayor, and the apartment is located right next to the famous San Gines chocolate and churros café.<br /><br />The apartment is on the fourth floor, and the building being one of the original and protected buildings of the area does not have an elevator.<br /><br />Our studio has maximum capacity of 2 people with a zone with 1 individual bed and another zone with 2 individual beds placed together...<br /><br /><b>The space</b><br />Studio located next to Plaza Mayor<br /><br />The studio consists of a low ceiling zone with a single bed, 1 bathroom, kitchen and lounge room. The low ceiling zone, lounge and kitchen are all an open space.<br /><br />The apartment has heating, air conditioning and free high speed wifi.<br /><br />Situated next to Plaza Mayor, and 100 meters from Puerta del Sol, you can live the experience of having Madrid at your feet!<br /><br />Sol and Opera metro stations are 3 minute walk away.<br /><br />Even though checkin time is from 15:00 we can store your luggage from 11:30 while the apartment is being cleaned.<br /><br />To store your luggage after checkout we know of a couple of places that can store it for you all day.<br /><br /><b>Other things to note</b><br />The studio is located on the 4th floor with NO elevator, so it is not suitable for people with mobility problems.<br /><br />It is mandatory to present an ID document when you check in by at least one adult, for the mandatory requirement of registering it with the police.<br /><br />The check in time is flexible but there is an additional charge of € 20 for arrivals after 8:00 p.m.<br /><br /><b>Registration Details</b><br />_ Madrid, Comunidad de Madrid, Spain: The apartment is located in Plaza Mayor, right in the centre of Madrid.<br />Only 100 metres from Puerta del Sol.<br /><br />At your doorstep you will have numerous restaurants, bars and shops and a 20-minute drive from Adolfo Suarez of Madrid-Barajas airport.<br /><br />The Centre of Madrid is a great choice for travelers interested in nightlife, tapas, architecture and performances. | Getting around: We are 3m walk of the stations: Sol and Opera, also there are many buses that pass through the area, as well as taxi / uber.<br /><br />There is a car park (not free) right under the building. Checking in and out: Check-in after 3:00 PM, Checkout before 11:00 AM, Self check-in with smart lock | During your stay: 4 guests maximum, No pets, No smoking"
313949,"Apartment *** historic center. Very quiet. Entire rental unit in La Rochelle, France Respecting the Rochelaise architecture, in a ""heart of the city"" environment, quiet and pleasant: the location and decoration give this apartment an incomparable charm.<br />Warning: the listing is not suitable for children or infants<br /><br /><b>The space</b><br />Bathed in light, this apartment combines the charm of the Rochelais spirit with a contemporary approach. Comfortable, it will seduce you with its quality services and neat decoration.<br />- A friendly living room with TV and sofa <br />- A fully-equipped kitchen for the bravest, as well as a grocery store and tea and coffee.<br />- A sleek white bedroom with a dressing area and TV.<br />- A shower room full of charm with its large skylight facing the sky<br /><br />Located one street from the covered market of La Rochelle, you will be in the heart of the historic center.<br />The market is a meeting place for the people of La Rochelle who come to do their shopping but also and above all to drink a coffee or a glass of white wine depending on the time.<br />You will be steps away from restaurants and bars that will delight you!! <br />Armelle will advise you best according to your tastes.<br />There are also two convenience stores within 300 m as well as a pharmacy.<br />Despite the hustle and bustle of the city center you will be in a haven of calm since on our street there are no shops and the apartment overlooks the courtyard!!<br />Ideal for a fresh start<br /><br />The apartment must be returned in the same clean condition as when you arrived.<br /><br />Linens and towels are provided.<br /><br />PLEASE NOTE: cleaning is included. However, it seems normal to us that guests treat the space as they would their own.<br />We therefore ask that the laundry be put in the basket dedicated to dirty laundry, that the dishes be properly washed and put away, that the shower be rinsed and that crumbs and various waste be collected.<br />Cleaning fees charged include laundry fees and surface disinfection (COVID protocol).<br /><br /><b>Registration Details</b><br />17300001593GX Neighborhood highlights: Located one street from the covered market of La Rochelle, you will be in the heart of the historic center.<br />The market is a meeting place for the people of La Rochelle who come to do their shopping but also and above all to drink a coffee or a glass of white wine depending on the time.<br />You will be steps away from restaurants and bars that will delight you!! <br />Armelle will advise you best according to your tastes.<br />There are also two convenience stores within 300 m as well as a pharmacy.<br />Despite the hustle and bustle of the city center you will be in a haven of calm since on our street there are no shops and the apartment overlooks the courtyard!!<br />Ideal for a fresh start | Getting around: If by car: <br />- ideally, Place Cacaud parking (100 m from the apartment).<br />- Place Notre Dame parking 200 m away<br />TV in the living room and in the bedroom with USB socket<br />Bluetooth speaker with headphone jack<br />I'm here to help if you need any information.<br />For one-night stays we provide sheets but ask guests to bring their towels. If that's not possible, we can of course help you out. Checking in and out: Check-in: 3:00 PM - 9:00 PM, Checkout before 12:00 PM, Self check-in with lockbox | During your stay: 2 guests maximum, No pets, No parties or events, Commercial photography allowed, No smoking Sea-View Rooftop Terrace Studio Cycladic home in Nisí Tínos, Greece This self-catering studio in Tinos is situated in a beautiful fishing village(Panormos), on the north of the island, which has a picturesque natural port and restaurants by the sea. It is covered with white marble floors and has a cozy room with double bed, a fully equipped kitchenette and a walking shower.<br /><br /><b>The space</b><br />It is covered with white marble floors and has a cozy room with double bed, a fully equipped kitchenette and a walking shower. Through the outdoor staircase, you go up to the terrace, where you can enjoy the view of the sea and the islet of Planiti. <br /><br />The studio is also equipped with: • Coffee maker • Toaster • Dinnerware sets • Starter pack of coffee, sugar • Bath towels • Shampoo and body wash • Flat Iron • Wi-Fi • TV • Hair Dryer • Washer • Books • Vacuum • Walking Sticks for Hiking • Air-Conditioning.<br /><br />This studio is wonderful for couples, friends and solo travelers, who want to enjoy living in a seaside Cycladic village.<br /><br /><b>Registration Details</b><br />00003010523 Nisí Tínos, Greece: You can swim in the nearby clean sandy beaches(Agia Thalassa, Kavalourko, Rochari) and enjoy a delicious meal with fresh fish at the taverns, while looking at the sea. | Getting around: Public transportation (bus) from the port to Panormos. Checking in and out: Check-in: 3:00 PM - 11:00 PM, Checkout before 11:00 AM | During your stay: 2 guests maximum, No pets, No parties or events, Smoking is allowed"
325328,"The Ober-Lethe House Entire rental unit in Wardenburg, Germany This stylish place to stay is perfect for business trips.  Checking in and out: Check-in: 3:00 PM - 8:00 PM, Checkout before 10:00 AM | During your stay: 2 guests maximum, No pets, No parties or events, No smoking"
367862,"Central apartment - downtown Entire rental unit in Cologne, Germany The apartment is located in downtown Cologne on Zülpicher Platz. The university and cafeteria are within a few minutes' walk. There are also plenty of bars, restaurants and shopping around the corner.<br /><br /><b>Registration Details</b><br />Business name: Andreas Muenstermann<br/>Business address: Andreas Münstermann , 44137, Dortmund , NRW,Deutschland <br/>Business email address: Andreasmuenstermann14@gmail.com <br/>Legal representative(s): Robert Muenstermann  During your stay: 2 guests maximum"
443512,"Isthmus Filoxenia Entire home in Isthmia, Greece Here you will find the ideal balance between comfort, affordable prices and authentic hospitality. Whether you are traveling for vacation, business or just want to enjoy a different experience, ""Isthmus Filoxenia"" is the best choice.<br /><br /><b>Registration Details</b><br />00003396100  Checking in and out: Check-in: 4:00 PM - 11:00 PM, Checkout before 12:00 PM | During your stay: 4 guests maximum, No pets, Quiet hours, No parties or events, No commercial photography, No smoking | Before you leave: Gather used towels, Throw trash away, Turn things off 4-room apartment near Bayreuth Entire guest suite in Kirchenpingarten, Germany Ski season is open! <br /><br />About 20 km away is the Wagner and World Heritage city of Bayreuth.<br /><br />Muckenreuth is located on the edge of the Fichtel Mountains and Franconian Switzerland, as well as at the gateway to the Upper Palatinate and is ideal for hiking, biking, skiing and relaxing.<br /><br />The apartment can be reached via a very large entrance area (parking space for strollers or bicycles) and a staircase to the first floor.<br /><br />Surrounding information: see my travel tips<br /><br /><b>The space</b><br />The living room is equipped with a couch, TV and Internet connection.<br /><br />In the kitchen, dishes and cutlery are available in multiple designs. It also includes a fridge, stove, oven...<br /><br />The 3 bedrooms (bedroom 1 is a walk-through room to the hallway and toilet for bedroom 3) are equipped with sufficient storage options.<br /><br />When used with 4 people, bedroom 3 will not be unlocked. The third room costs an additional €20 per person. <br /><br />The sauna can be used for an extra charge.<br /><br />The apartment is on the second floor of a former farm. The owners live in the adjacent house. They can always help and answer questions or give you your space.<br /><br />Recently, there is a ski room - laundry room.<br /><br /><b>Guest access</b><br />The third bedroom is only available if it is paid for in addition. 2 bedrooms are always available and the third is unlocked for a reservation of 5 or more people. Cost per person an additional €20 Kirchenpingarten, Bayern, Germany: It's not the hustle and bustle here. It is a place of rest and relaxation. If you want to go shopping, there are several supermarkets about 5 km away. <br />Bayreuth - approx. 20 km<br />Nuremberg - approx. 100 km<br /><br />Ski season opened in the Fichtel Mountains!!!! | Getting around: There is a train station in Weidenberg.<br /><br /><br />Ski season opened in the Fichtel Mountains!!!!! Checking in and out: Check-in: 3:00 PM - 11:00 PM, Checkout before 10:00 AM, Self check-in with building staff | During your stay: 6 guests maximum, Pets allowed, No parties or events, No smoking"
532213,"Pleasant independent room Room in Le Cannet, France Our guest room is located in Le Cannet-Rocheville, close to all shops (2-min walk) but also to the bus line that will allow you to reach Cannes and its beaches in 10 minutes. <br />Our room is on the first floor of a villa with private access by stairs, in a cul-de-sac, quiet. You will get a free and secure car parking space. No kitchen but a small area to make coffee and tea that you can enjoy in the sun on the small balcony.<br /><br /><b>The space</b><br />The accommodation includes an air-conditioned bedroom with a dressing room, coffee table and TV that opens onto a small furnished balcony, as well as a corridor that leads you on one side to the bathroom equipped with a bathtub and a double vanity unit and on the other, the toilet.<br /><br /><b>Guest access</b><br />Guests have access to a bedroom with a double bed and storage that opens onto a small furnished balcony, a bathroom with a bathtub and double sink, as well as a toilet.<br />Please note that our accommodation does not include a kitchen.<br /><br /><b>During your stay</b><br />For any additional information during your stay, you can contact us by email and our contact information will be available in the room.<br /><br />Please feel free to leave us a message. We will call you back as soon as possible or we will come meet you, if necessary, because we live there. Neighborhood highlights: Rocheville district in Le Cannet (06) quiet and close to all amenities. | Getting around: A pieds, en bus Checking in and out: Check-in after 3:00 PM, Checkout before 11:00 AM, Self check-in with lockbox | During your stay: 2 guests maximum, No pets, No parties or events, No smoking | Before you leave: Turn things off Private room close to the sea Room in Nice, France Bedroom in a home, cozy, bright, beautiful unobstructed view. Double bed 140x190.<br />Shared shower room, toilet, and kitchen.<br />2 people and 5 nights max.<br />Towels and bed linen is provided.<br />Free WiFi and parking. Cleaning included.<br />Breakfast not included. Drinks and meals not allowed in the room. <br />Check-in 6pm-10pm /check-out 12pm.<br />Apartment located on the 9th floor with elevator, 10 min walk to the Promenade des Anglais/sea/tram, 20 min to the airport, 30 min to the city center.<br /><br /><b>The space</b><br />The room provided is our guest room. It is located in a bright 77 m2 apartment, on the 9th and top floor with elevator, air conditioning, triple exposure without facing the street with sea, mountain and city views.<br />The residence is enclosed and has free communal parking.<br />This is our main residence, you will share our daily life in the presence of our son (born in 2018).<br /><br /><b>Guest access</b><br />You will share the shower room and toilet with us.<br /><br />For breakfast, you will find a convenience store and a bakery with tables inside and on the terrace just a few steps away.<br />You can also bring back whatever you want to eat with us to enjoy the sun and the view. Kitchen and balconies available.<br /><br />For your other meals, Nice offers many dining options. A small restaurant/pizzeria is opposite the residence and other restaurants are within a 15-min walk (Beef Grill, Eat Sushi, Potiron Gourmet...). You can also have your meal delivered or bring it back. We'll work out how to share the kitchen.<br /><br />Please keep the premises clean and tidy with special attention to the places we share.<br /><br />As we also provide you with the kitchen, no food or drink (except water) will be allowed in the room.<br /><br /><b>During your stay</b><br />This is our main residence, we are on site and also reachable by phone / messaging.<br />Have a question, need, or want? Don't hesitate! We're here to make your stay as enjoyable as possible☺️.<br /><br /><b>Other things to note</b><br />Non-smoking apartment<br />Pets not allowed <br />Registration number with the City of Nice: 06088030337WF Neighborhood highlights: Shops in the neighborhood within a 5-min walk: bakery, U store, pharmacy, gas station, banks, florist, post office, hairdresser, bar, tobacco shop, newsstand<br />Restaurant-pizzeria in front of the residence.<br />Small food at the bar and bakery 5 min walk. | Getting around: Bus stop (line 12) in front of the residence. <br />Tram (line 2) Ferber stop (for city center/airport) 10 min walk.<br /><br />Airport accessible by 10 min walk + 10 min Tram (line 2).<br />Saint Augustin train station is a 20-minute walk away.<br />A8 highway 8 min drive.<br /><br />Sea 10 min walk.<br />Downtown in 30 minutes (10 minutes to get to the tram and then 20 minutes by tram).<br />Cannes and Monaco are easily accessible by train/car. Checking in and out: Check-in: 6:00 PM - 10:00 PM, Checkout before 12:00 PM | During your stay: 2 guests maximum, No pets, Quiet hours, No parties or events, No commercial photography, No smoking | Before you leave: Additional requests Studio with loft Marsala33 Entire rental unit in Bologna, Italy Thanks to this strategically located space, you won't have to give up anything.<br />The apartment is in the heart of the center of Bologna, everything is easily accessible on foot, on the mezzanine there is a bathroom, on the ground floor instead we have the living area with kitchenette and a second bathroom with a bathtub.<br /><br /><b>Registration Details</b><br />I applied for a CIN, but haven’t received it yet  Checking in and out: Check-in after 1:00 PM, Checkout before 11:00 AM, Self check-in with lockbox | During your stay: 2 guests maximum, No pets, Quiet hours, No parties or events, Commercial photography allowed, Smoking is allowed | Before you leave: Gather used towels, Throw trash away, Turn things off, Lock up"
883824,"Apartments in the Old Town, Caleros 13 - 1 Entire rental unit in Cáceres, Spain Enjoy elegance and modernity in this apartment located in the heart of Cáceres' old town. <br /><br />With a modern and functional architectural design, this space offers all the necessary amenities for a comfortable stay. <br /><br />Located a short walk from the Plaza Mayor and the Concatedral de Santa María, it is ideal for exploring the city's historical and cultural wealth.<br /><br /><b>The space</b><br />This apartment features a contemporary architectural design that combines style and functionality. It's equipped with air conditioning, free WiFi, and a full kitchen to make you feel at home. The living room includes a flat-screen TV and a comfortable seating area.<br /><br /><b>Other things to note</b><br />The apartment is located in a pedestrian area, which guarantees a quiet stay without traffic noise. It is just a few minutes' walk from the main tourist attractions and a variety of local restaurants and shops. Ideal for those looking to immerse themselves in the culture and history of Cáceres.<br /><br /><b>Registration Details</b><br />AT-CC-00547  Checking in and out: Check-in after 3:00 PM, Checkout before 12:00 PM | During your stay: 4 guests maximum, Pets allowed, No parties or events, No commercial photography, No smoking"
902903,"Nice room with king size bed Room in Serris, France Nice room with private bathroom and private toilet.<br /><br /><b>The space</b><br />Offers 5 minutes of Disneyland Paris Parks, and 2 minutes walk from the RER line A, Nice room with private bathroom, and separate WC <br />It is equipped with a color TV and a wireless internet connection<br />Your room is in a new apartment in a very secure residence. You will be next to the big shopping center Val d'Europe, the Village and 5 minutes from the Disney parks.<br /><br />If necessary and depending on my availability I could drop you off on the Disney and pick you up.<br /><br />The neighborhood is quiet and wooded, you will find a nearby restaurant.<br /><br />Possibility of private parking for 6 euros per night.<br /><br /><b>Guest access</b><br />Room <br />En suite bathroom<br />Private toilet.<br /><br /><b>Other things to note</b><br />Offers this beautiful new room for couple or single person. I do not allow third occupant. I do not accept that smoking in this room, nor that there lunch or dinner. He asked not to make too much noise for the comfort of all including that of my neighbors!<br /><br />Merci de RESPECTER IMPÉRATIVEMENT le réglement intérieur et ces points :<br />- La cuisine n'est pas disponible<br />- Nous vous remercions d'être respectueux des équipements mis à votre disposition. <br />........................................................................................<br />Thank you to RESPECT IMPERATIVELY the rule and these points :<br />- No smoking is allowed inside the room.<br />- Turn off the lights when leaving the room.<br />- The kitchen is not available.<br /><br />*******<br />!!!! Il y a une atxe de séjour de 1 euro par personne et par nuit a régler dès l'arrivée.<br />!!!! There is a tourist tax of 1 euro per person per night to be paid upon arrival.<br />!!!!Hay un impuesto municipal de 1 euro por persona por noche a la llegada. Neighborhood highlights: In the heart of the Val d'Europe in a very secure residence, you will be just steps from Disney parks and Valley Village | Getting around: BY RER, TGV, OR EUROSTAR<br />The closest TGV train station is Marne-la-Vallée-Chessy-Parcs Disney®. <br />To learn more about train schedules of Marne-la-Vallée-Chessy- Parcs Disney® train station, click here: (website hidden) <br /><br />BY RER train (line A4)<br />Take RER A and exit at Val d'Europe/Serris Montévrain station. Checking in and out: Check-in: 11:00 AM - 8:00 PM, Checkout before 10:00 AM | During your stay: 2 guests maximum, No pets, Quiet hours, No parties or events, No commercial photography, No smoking Little house at Mjölkeröds golf course. Entire guesthouse in Tanumshede, Sweden My place is close to Grebbestad, 6 km and on Mjölkeröds golf course and close to several golf courses in Bohuslän, 10 minutes walk to swimming.<br />Small kitchen, shower and toilet. The loft has a wider bed, 120 cm and a bunk bed. Accommodation area approx. 30 sqm. A total of 3 beds.<br /><br /><b>The space</b><br />Close to nature and ideal for golfers and also other people.<br /><br /><b>Guest access</b><br />Close to the golf club there is a great restaurant.<br /><br /><b>Other things to note</b><br />I sometimes can't be home but then the key is in the door. Tanumshede, Västra Götalands län, Sweden: The house is located with walking walk to swimming in the small community of Sannäs. 6 km to Grebbestad. | Getting around: Car is best for getting to Grebbestad. Older bikes I can borrow. Good to rest here if you are on a cycling holiday and on the way to Strömstad or Norway. Checking in and out: Check-in after 1:00 PM, Checkout before 12:00 PM | During your stay: 3 guests maximum, Pets allowed, No parties or events, No smoking | Before you leave: Throw trash away"
